number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update
115,dublin,KILLARNEY STREET,Killarney Street,"{'lat': 53.354845, 'lng': -6.247579}",False,False,30,23,7,OPEN,1740048491000
47,dublin,HERBERT STREET,Herbert Street,"{'lat': 53.335742, 'lng': -6.24551}",False,False,40,22,18,OPEN,1740048617000
117,dublin,HANOVER QUAY EAST,Hanover Quay East,"{'lat': 53.343653, 'lng': -6.231755}",False,False,40,25,15,OPEN,1740048842000
8,dublin,CUSTOM HOUSE QUAY,Custom House Quay,"{'lat': 53.347884, 'lng': -6.248048}",False,False,30,25,5,OPEN,1740048807000
27,dublin,MOLESWORTH STREET,Molesworth Street,"{'lat': 53.341288, 'lng': -6.258117}",False,False,20,5,15,OPEN,1740048371000
16,dublin,GEORGES QUAY,Georges Quay,"{'lat': 53.347508, 'lng': -6.252192}",False,False,20,15,5,OPEN,1740048682000
96,dublin,KILMAINHAM LANE,Kilmainham Lane,"{'lat': 53.341805, 'lng': -6.305085}",False,False,30,21,9,OPEN,1740048542000
82,dublin,MOUNT BROWN,Mount Brown,"{'lat': 53.341645, 'lng': -6.29719}",False,False,22,19,3,OPEN,1740048749000
76,dublin,MARKET STREET SOUTH,Market Street South,"{'lat': 53.342296, 'lng': -6.287661}",False,False,38,26,12,OPEN,1740048653000
71,dublin,KEVIN STREET,Kevin Street,"{'lat': 53.337757, 'lng': -6.267699}",False,False,40,25,15,OPEN,1740048370000
79,dublin,ECCLES STREET EAST,Eccles Street East,"{'lat': 53.358115, 'lng': -6.265601}",False,False,27,14,13,OPEN,1740048811000
69,dublin,GRAND CANAL DOCK,Grand Canal Dock,"{'lat': 53.342638, 'lng': -6.238695}",False,False,40,5,35,OPEN,1740048717000
25,dublin,MERRION SQUARE EAST,Merrion Square East,"{'lat': 53.339434, 'lng': -6.246548}",False,False,30,14,15,OPEN,1740048303000
